"state","year","electric_ev","plug_in_hybrid_electric_phev","charging_station_count","income","education","population","non_ev_total"
"HI",2019,8800,2900,412,93265,0.336,1415872,1071200
"ID",2019,1600,1500,198,69932,0.287,1787065,1781700
"IL",2019,19300,11600,934,78845,0.358,12671821,10219200
"IN",2019,5100,4700,384,70679,0.269,6732219,5892300
"IA",2019,1600,2400,222,70002,0.293,3155070,3010400
"KS",2019,2300,2100,396,77523,0.34,2913314,2549400
"KY",2019,1900,1800,218,58989,0.251,4467673,3931000
"LA",2019,1400,1000,230,54797,0.25,4648794,3775400
"ME",2019,1300,2200,368,70523,0.332,1344212,1197700
"MD",2019,13200,10000,1270,101283,0.409,6045680,4681600
"MA",2019,14100,12900,884,92949,0.45,6892503,5200400
"MI",2019,6600,12400,664,67951,0.3,9986857,8464700
"MN",2019,7700,5800,536,86292,0.373,5639632,5121600
"MS",2019,500,600,142,47463,0.223,2976149,2648400
"MO",2019,4900,5000,698,64218,0.302,6137428,5677400
"MT",2019,700,500,100,63792,0.336,1068778,952100
"NE",2019,1300,1100,130,77437,0.332,1934408,1846300
"NV",2019,7900,3600,380,75143,0.257,3080156,2360200
"NH",2019,1900,2200,228,92093,0.376,1359711,1348100
"NJ",2019,20200,11700,658,92969,0.412,8882190,7159300
"NM",2019,1900,1600,136,56287,0.277,2096829,1822000
"NY",2019,23000,28000,2120,76149,0.378,19453561,11339000
"NC",2019,11600,8100,1120,64814,0.323,10488084,8547300
"ND",2019,200,200,48,74216,0.304,762062,764400
"OH",2019,10200,8600,864,68527,0.293,11689100,10225000
"OK",2019,3400,1600,212,62946,0.262,3956971,4080800
"OR",2019,18800,10400,980,78860,0.345,4217737,3705800
"PA",2019,12000,11200,960,74800,0.323,12801989,9979500
"RI",2019,1100,1300,196,74344,0.348,1059361,876400
"SC",2019,3000,2600,492,65735,0.296,5148714,4626900
"SD",2019,300,400,82,68095,0.297,884659,894500
"TN",2019,5700,3600,582,60011,0.287,6829174,6027200
"TX",2019,38400,18100,1746,71474,0.308,28995881,23856800
"UT",2019,8000,4400,470,89574,0.348,3205958,2759000
"VT",2019,1700,2000,394,78746,0.387,623989,601400
"VA",2019,15000,9800,1136,86172,0.396,8535519,7696500
"WA",2019,40400,16100,1502,87381,0.37,7614893,6542600
"WV",2019,400,600,160,56916,0.211,1792147,1481900
"WI",2019,4700,5300,430,71380,0.313,5822434,5508600
"WY",2019,200,200,114,69027,0.291,578759,611300
"AL",2018,1300,1500,280,53879,0.255,4887681,4427900
"AK",2018,500,300,30,74161,0.302,735139,597000
"AZ",2018,12600,7700,482,67201,0.297,7158024,5909300
"AR",2018,600,800,142,53712,0.233,3009733,2572000
"CA",2018,273500,215000,4866,76055,0.342,39461588,32196200
"CO",2018,12500,7400,888,78801,0.417,5691287,5033800
"CT",2018,5000,5200,612,78561,0.396,3571520,2933000
"DE",2018,800,1200,90,70145,0.313,965479,869700
"District of Columbia",2018,1100,1000,NULL,92521,0.604,NULL,331200
"FL",2018,27400,17400,1836,58959,0.304,21244317,16594300
"GA",2018,15900,7000,976,60229,0.319,10511131,8703100
"HI",2018,6600,2400,352,86433,0.335,1420593,1064800
"ID",2018,1100,1100,166,63365,0.277,1750536,1732100
"IL",2018,13600,9900,752,75684,0.351,12723071,10121300
"IN",2018,3400,4100,320,64621,0.271,6695497,5827800
"IA",2018,1100,2000,174,74144,0.29,3148618,2985300
"KS",2018,1700,1800,318,68987,0.338,2911359,2518900
"KY",2018,1200,1500,180,58863,0.248,4461153,3895600
"LA",2018,900,900,200,53919,0.243,4659690,3760800
"ME",2018,800,1800,300,63295,0.315,1339057,1191300
"MD",2018,8400,8400,1044,93031,0.408,6035802,4668900
"MA",2018,10300,11600,610,93163,0.445,6882635,5238700
"MI",2018,4200,12300,538,65222,0.296,9984072,8611300
"MN",2018,4900,4800,410,77488,0.367,5606249,4959900
"MS",2018,300,500,116,46159,0.232,2981020,2577800
"MO",2018,3500,4200,566,66600,0.295,6121623,5712100
"MT",2018,500,400,86,62233,0.317,1060665,956700
"NE",2018,900,1000,98,72911,0.324,1925614,1830100
"NV",2018,5100,2900,288,66749,0.249,3027341,2311600
"NH",2018,1200,2000,208,87769,0.368,1353465,1326000
"NJ",2018,13400,10800,416,80033,0.408,8886025,7076200
"NM",2018,1300,1300,104,52096,0.277,2092741,1794300
"NY",2018,15500,24300,1366,72586,0.372,19530351,11336800
"NC",2018,7300,6500,886,57583,0.319,10381615,8367900
"ND",2018,100,200,30,71756,0.297,758080,756300
"OH",2018,6400,7200,642,66500,0.29,11676341,10144600
"OK",2018,3700,1300,156,58732,0.256,3940235,4056500
"OR",2018,13800,8400,762,74626,0.34,4181886,3735800
"PA",2018,8000,9500,672,69619,0.318,12800922,9908000
"RI",2018,700,1200,146,67183,0.344,1058287,873700
"SC",2018,2000,2200,428,61980,0.283,5084156,4538600
"SD",2018,200,300,66,64158,0.292,878698,897700
"TN",2018,3900,2900,476,60487,0.275,6771631,5869400
"TX",2018,24500,14700,1356,64506,0.303,28628666,22758000
"UT",2018,5600,3400,332,83152,0.349,3153550,2659500
"VT",2018,1100,2000,326,75599,0.387,624358,603400
"VA",2018,9900,8100,930,83243,0.393,8501286,7620700
"WA",2018,30200,13700,1140,86021,0.367,7523869,6490000
"WV",2018,200,500,156,54566,0.213,1804291,1498000
"WI",2018,3700,4500,342,67574,0.3,5807406,5456900
"WY",2018,200,200,98,67477,0.269,577601,602800
"AL",2017,800,1100,248,56219,0.255,4874486,4408000
"AK",2017,400,300,16,86196,0.288,739700,619000
"AZ",2017,7200,5800,384,65984,0.294,7044008,5725000
"AR",2017,300,600,116,54988,0.234,3001345,2581000
"CA",2017,189700,159600,3734,77410,0.336,39358497,31528100
"CO",2017,8000,5200,646,82877,0.412,5611885,4979200
"CT",2017,3000,3900,550,82125,0.387,3573297,3000800
"DE",2017,400,900,78,71799,0.315,956823,859200
"District of Columbia",2017,800,700,NULL,89838,0.573,NULL,327300
"FL",2017,15900,13400,1438,58674,0.297,20963613,16192700
"GA",2017,14400,5200,728,64089,0.309,10410330,8564300
"HI",2017,5400,1700,334,81346,0.329,1424393,1052700
"ID",2017,700,800,146,65760,0.268,1717715,1671300
"IL",2017,8300,7700,602,72913,0.344,12778828,10118500
"IN",2017,1900,3200,236,64953,0.268,6658078,5764900
"IA",2017,600,1500,140,70148,0.289,3141550,2972800
"KS",2017,1000,1300,292,62889,0.337,2908718,2511800
"KY",2017,700,1200,144,54901,0.24,4452268,3870000
"LA",2017,600,700,166,48151,0.238,4670560,3752500
"ME",2017,500,1300,252,58928,0.321,1334612,1185600
"MD",2017,4400,6500,800,90734,0.397,6023868,4627600
"MA",2017,5600,7900,436,84269,0.434,6859789,5206900
"MI",2017,2500,12000,406,62342,0.291,9973114,8611400
"MN",2017,2300,3100,308,77341,0.361,5566230,4767800
"MS",2017,200,300,100,47837,0.219,2988510,2560000
"MO",2017,2100,3300,502,62481,0.291,6106670,5670400
"MT",2017,300,300,64,63450,0.323,1052482,959900
"NE",2017,500,800,84,65855,0.317,1915947,1813200
"NV",2017,3100,2000,222,64151,0.249,2969905,2250600
"NH",2017,600,1500,172,83591,0.369,1348787,1306800
"NJ",2017,6900,8100,330,78739,0.397,8885525,6846000
"NM",2017,700,1000,86,50401,0.271,2091784,1776800
"NY",2017,9400,17100,1012,68021,0.36,19589572,11322900
"NC",2017,4400,4800,722,54762,0.313,10268233,8253200
"ND",2017,100,200,12,66500,0.307,754942,757100
"OH",2017,3700,5600,512,67076,0.28,11659650,10065500
"OK",2017,1200,900,122,57343,0.255,3931316,4082500
"OR",2017,10000,6000,608,69077,0.337,4143625,3658100
"PA",2017,4400,7500,536,67736,0.314,12787641,9922700
"RI",2017,400,800,72,72285,0.335,1055673,852100
"SC",2017,1200,1600,364,60278,0.28,5021268,4460500
"SD",2017,100,200,50,62905,0.281,872868,878500
"TN",2017,2900,2100,392,61128,0.273,6708799,5552400
"TX",2017,16100,10900,946,66417,0.296,28295273,22323100
"UT",2017,3600,2500,200,77135,0.346,3101042,2536400
"VT",2017,700,1600,234,70385,0.383,624344,605800
"VA",2017,5100,6100,730,78265,0.387,8463587,7568100
"WA",2017,21000,9800,892,79071,0.355,7423362,6395000
"WV",2017,100,400,146,51900,0.202,1817004,1510300
"WI",2017,2800,3500,296,70164,0.304,5790186,5418700
"WY",2017,100,100,78,65803,0.276,578931,597000
"AL",2016,500,900,180,56929,0.247,4863525,4381300
"AK",2016,200,200,NULL,81133,0.296,741456,636300
"AZ",2016,4700,4400,320,70821,0.289,6941072,5519000
"AR",2016,200,500,80,50784,0.224,2989918,2546800
"CA",2016,141500,116700,3116,81575,0.329,39167117,30323000
"CO",2016,5300,3800,450,84954,0.399,5539215,4852700
"CT",2016,2000,2800,504,80958,0.386,3578141,2957800
"DE",2016,300,700,44,68687,0.31,948921,847700
"District of Columbia",2016,600,500,NULL,90640,0.568,NULL,310700
"FL",2016,11600,10100,1056,59734,0.286,20613477,15676500
"GA",2016,18000,4000,550,61497,0.305,10301890,8408400
"HI",2016,4200,1200,274,82199,0.319,1427559,1038800
"ID",2016,400,600,118,76918,0.276,1682380,1613500
"IL",2016,5800,6000,484,79253,0.34,12820527,10083100
"IN",2016,1300,2400,194,70190,0.256,6634304,5655700
"IA",2016,400,1200,114,72429,0.284,3131371,2933900
"KS",2016,600,1000,240,75979,0.328,2910844,2476000
"KY",2016,500,900,94,55629,0.234,4438182,3783000
"LA",2016,400,500,118,57206,0.234,4678135,3699000
"ME",2016,300,1000,214,71139,0.301,1331317,1167000
"MD",2016,3200,5000,650,97332,0.393,6003323,4564100
"MA",2016,3600,5200,390,86566,0.427,6823608,5120200
"MI",2016,1600,11600,338,64488,0.283,9950571,8364400
"MN",2016,1600,2400,232,80441,0.348,5522744,4738600
"MS",2016,100,200,68,46637,0.218,2987938,2485900
"MO",2016,1400,2100,282,63594,0.285,6087135,5466700
"MT",2016,200,200,48,64999,0.31,1040859,965100
"NE",2016,300,600,66,78109,0.314,1905616,1781400
"NV",2016,2000,1400,168,64340,0.235,2917563,2183200
"NH",2016,400,1000,166,88841,0.366,1342307,1288800
"NJ",2016,4200,5500,274,88559,0.386,8870827,6668500
"NM",2016,500,600,66,53463,0.272,2091630,1635200
"NY",2016,6100,12100,738,72920,0.357,19633428,11276800
"NC",2016,2900,3600,556,62891,0.304,10154788,8090900
"ND",2016,0,100,NULL,68882,0.296,754434,745200
"OH",2016,2600,4400,406,62689,0.275,11634370,9972600
"OK",2016,600,700,78,60096,0.252,3926331,4093900
"OR",2016,7700,4300,514,81855,0.327,4089976,3565600
"PA",2016,3200,5400,460,72627,0.308,12782275,9885400
"RI",2016,300,600,66,74982,0.341,1056770,848200
"SC",2016,800,1200,306,62542,0.272,4957968,4346900
"SD",2016,100,200,NULL,73893,0.289,862996,847500
"TN",2016,2600,1700,324,62166,0.261,6646010,5422600
"TX",2016,11900,8000,742,67404,0.289,27914410,22073700
"UT",2016,2500,1700,164,87649,0.326,3041868,2439300
"VT",2016,300,1200,194,76079,0.364,623657,603500
"VA",2016,3100,4200,594,80268,0.381,8410106,7331000
"WA",2016,14900,6400,700,87648,0.351,7294771,6073200
"WV",2016,100,300,66,46836,0.208,1831023,1502400
"WI",2016,2600,2600,258,69943,0.295,5772628,5310200
"WY",2016,100,100,52,71052,0.271,584215,591200
